번호,스타일명(한글),스타일명(영문),특징1,특징2,특징3,스타일_참고사진 (구글시트 수식),주방_참고사진,화장실_참고사진,소파_참고사진,침대_참고사진,오브제1_참고사진,오브제2_참고사진,오브제3_참고사진,벽지명,벽지_참고사진,바닥재명,바닥_참고사진,벽지시공_추천날씨,바닥시공_추천날씨,평당_벽지인건비,벽지부자재비,평당_바닥인건비,바닥부자재비,날씨별_시공유의사항,,,,,주요타겟층,난이도
1,모던,Modern,깔끔하고 심플한 디자인,"직선 위주, 화이트·그레이·블랙 컬러",군더더기 없는 세련된 느낌,"=IMAGE(""https://th.bing.com/th/id/OIP._6wlHcm5lkddtxln1rcmhQHaE7?w=292&h=193&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3"")","=IMAGE(""https://i.pinimg.com/736x/77/ae/c4/77aec4ffb22d3f670d7bd01b87f4ca13.jpg"")","=IMAGE(""https://i.pinimg.com/736x/06/1b/a4/061ba46e2274a2635948498fc05d68ff.jpg"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTs20MH-onwO3UT6H8iKg7yt-X6Gsm12QEOjslh_qvIFw&s=10"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEcfanSHGYau9OBIr00tBcd-jO8h94UPzhArDP9E-9tA&s=10"")","=IMAGE(""https://i.pinimg.com/1200x/ad/d1/a2/add1a24d0a5d2a3ff5561ca66525cb54.jpg"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEcfanSHGYau9OBIr00tBcd-jO8h94UPzhArDP9E-9tA&s=10"")","=IMAGE(""https://i.pinimg.com/736x/1f/d9/1b/1fd91bcd23f0e001709c24f4f9cfaa67.jpg"")",LX 실크벽지 테라피 슈가화이트,"=IMAGE(""https://i.pinimg.com/1200x/57/ca/15/57ca1512e5651f43c7dca83cee344cf9.jpg"")",KCC 2.2T 마블 장판,"=IMAGE(""https://i.pinimg.com/736x/fd/f3/3e/fdf33e0eee1be3936950e98632058668.jpg"")",봄/가을 (습도 40-60%),사계절 가능,"38,000","8,000","30,000","5,000","장마철 고습도 환경 시 실크벽지 이음매 들뜸 주의, 동절기 장판 시공 시 난방 사전 가동 필수",,,,,2030 직장인,보통
2,미니멀,Minimal,필요한 것만 배치,여백을 살린 공간,차분하고 정돈된 느낌,"=IMAGE(""https://i.pinimg.com/1200x/73/90/a3/7390a32f9206c32cf6f489208beab458.jpg"")","=IMAGE(""https://i.pinimg.com/736x/e3/20/3a/e3203a5f3fde43c7fef82730bfe9a316.jpg"")","=IMAGE(""https://i.pinimg.com/736x/23/5e/95/235e95702add2261f51ade72ea9d395b.jpg"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmRj5YnzdT1kAC7LP16f917y5hLGhGxBQbexPA1MVDYw&s=10"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-VDKF3RyZz9hndNDbo_U5WjPUTLHHUdakKDJtoKvY4g&s=10"")","=IMAGE(""https://i.pinimg.com/1200x/cd/01/56/cd0156f03829a3a7338f23e2fd160658.jpg"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-VDKF3RyZz9hndNDbo_U5WjPUTLHHUdakKDJtoKvY4g&s=10"")","=IMAGE(""https://i.pinimg.com/736x/85/6b/b6/856bb6276298900edeafe97b0845e170.jpg"")",신한 실크벽지 에센스 무몰딩화이트,"=IMAGE(""https://i.pinimg.com/1200x/ef/f8/e0/eff8e06de6372e7b1fd8b93e27e7f745.jpg"")",동화자연마루 그란데 사하라 광폭마루,"=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6pkOYIMJ2mvNa4WtvII3ESXSVYsXNMKn8ZfcOZGZD3Q&s=10"")",봄/가을 (습도 40-60%),동절기 피함 권장,"45,000","10,000","48,000","15,000",무몰딩 마감은 벽면 평탄화 작업이 필수적이므로 습기가 많은 날 퍼티 건조 지연 주의,,,,,"1인 가구, 미니멀리스트",어려움
3,북유럽,Scandinavian,밝은 우드 + 화이트,따뜻하고 아늑한 분위기,자연광을 많이 활용,"=IMAGE(""https://www.nordicnest.kr/assets/contentful/p7vzp7ftmsr1/5uSX8uAwG4tG5M9HAWcjla/e2acd89ad4edc09dd8e7863e4922db67/v.51-001.jpg"")","=IMAGE(""https://i.pinimg.com/1200x/9c/18/43/9c18431187f589e045823f1091f3324e.jpg"")","=IMAGE(""https://i.pinimg.com/736x/35/0c/ac/350cacf510b82ae54ecb59cc9da39391.jpg"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYuuqe5bXkTyKox5OFu0BLLAyrAXu0RPhFJPx9CuLOHA&s=10"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKK1saCSJe6akPSD53gDJEm1fFzeDJyPrlv8--QZzMJg&s=10"")","=IMAGE(""https://i.pinimg.com/736x/d8/c3/fe/d8c3fe5635840b6a6481930f7d119676.jpg"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRq5vbtLwma28xBRWPpkGSPKa1zjWjqXaUB9qzU8-Y3Eg&s=10"")","=IMAGE(""https://i.pinimg.com/736x/b3/62/57/b36257505d92dff8b69d6de47070698a.jpg"")",개나리 벽지 아트북 소프트밀크,"=IMAGE(""https://i.pinimg.com/1200x/ec/cc/54/eccc54b80d27e57fb0b6ae23adab9aab.jpg"")",구정마루 오크 클래식 강마루,"=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIpJfGLblsbAPF2rd9VicZ-P-1HQ1x1DnCaRMneJ14sg&s=10"")",사계절 가능,봄/가을 추천,"38,000","8,000","45,000","12,000","강마루 접착제는 영하 온도에서 경화 불량 발생 가능, 겨울철 시공 시 실내 온도 15도 이상 유지",,,,,"신혼부부, 아이가 있는 집",보통
4,인더스트리얼,Industrial,"노출 콘크리트, 벽돌, 철제",카페 같은 분위기,거칠고 시크한 느낌,"=IMAGE(""https://png.pngtree.com/background/20230526/original/pngtree-minimalist-gray-industrial-style-living-room-picture-image_2747452.jpg"")","=IMAGE(""https://i.pinimg.com/736x/97/01/06/970106adcb2501b24a2b492e652481a7.jpg"")","=IMAGE(""https://i.pinimg.com/1200x/57/ba/86/57ba8670c22e3419c407995993471cfb.jpg"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpVIAf_fd5K266jMHQpVWPJEhmfD5nfizkhiKoQj5LBA&s"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4FuPOJYX0JBYdDzej-up_ablkUHmXuCJZTVVvkr-fPA&s"")","=IMAGE(""https://i.pinimg.com/1200x/0e/84/4f/0e844fc174c95721bfa2c8f227b5d1ef.jpg"")","=IMAGE(""https://i.pinimg.com/1200x/b1/d8/8b/b1d88b858a25a2f5cb5396af187edbf5.jpg"")","=IMAGE(""https://i.pinimg.com/1200x/1d/49/42/1d4942d4ff8171197b8a8c7256519cf8.jpg"")",삼화 빈티지 콘크리트 질감 페인트,"=IMAGE(""https://i.pinimg.com/1200x/2b/9e/07/2b9e075aeb8b6c9dda0fffc053a6992a.jpg"")",노출 콘크리트 에폭시 라이닝 라이트그레이,"=IMAGE(""https://i.pinimg.com/1200x/41/52/32/415232f29d17b24659b8ec33403bf98f.jpg"")",봄/여름 추천,장마철 불가능,"50,000","15,000","60,000","20,000","에폭시 라이닝은 습도 80% 이상 시 기포 발생 및 백화 현상 치명적, 비 오는 날 시공 절대 불가",,,,,카페형 인테리어 선호족,어려움
5,내추럴,Natural,원목과 식물 활용,"베이지, 아이보리 계열",편안하고 따뜻한 느낌,"=IMAGE(""https://i.pinimg.com/1200x/34/1e/7a/341e7a496663aad0910432af82fdb838.jpg"")","=IMAGE(""https://i.pinimg.com/736x/eb/75/a2/eb75a2e03366391453f5f446484675c1.jpg"")","=IMAGE(""https://i.pinimg.com/1200x/9a/17/22/9a172269bee8eabbdcaf2d04cbf7ca3f.jpg"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbp5Q1S4wmVOZzkWnvCE_rsBgbFCm77JUM0w9QGaJiSw&s=10"")","=IMAGE(""https://prs.ohousecdn.com/apne2/any/uploads/productions/v1-429819356139648.jpg?w=720&h=480"")","=IMAGE(""https://i.pinimg.com/736x/42/0c/fc/420cfc4df7338a1f176076c932ccf59a.jpg"")","=IMAGE(""https://i.pinimg.com/1200x/54/c8/8b/54c88b7d5846f772c73478fd94fa7262.jpg"")","=IMAGE(""https://i.pinimg.com/1200x/9c/53/4b/9c534b47311c866c346e0d9fdede1b51.jpg"")",LX 실크벽지 지아프레쉬 아이보리,"=IMAGE(""https://i.pinimg.com/1200x/03/48/a7/0348a71268be3481fcbab079db3f7514.jpg"")",노바 원목마루 내추럴 오크,"=IMAGE(""https://i.pinimg.com/736x/d9/e8/5a/d9e85aae784ee7b398b8df3701df1729.jpg"")",봄/가을 추천,겨울철 절대주의,"38,000","8,000","70,000","25,000",원목마루는 기후에 따른 수축팽창이 가장 심함. 여름철엔 무리하게 밀착 시공 시 겨울에 뜸 발생,,,,,"중장년층, 자연친화 가구",보통
6,클래식,Classic,몰딩과 장식이 많음,고급스럽고 우아한 분위기,호텔 같은 느낌,"=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTE0nZMobQhAtyhAJ10e0n1eGuLGP7jBmoOh3vyTRTue_io5kUiNBxwiCIu&s=10"")","=IMAGE(""https://i.pinimg.com/736x/b2/d6/7c/b2d67c9ad111e5d59a8f1f4a45d4855b.jpg"")","=IMAGE(""https://i.pinimg.com/736x/a1/e2/e7/a1e2e7585b5c0817cec1bfb26a6a5d66.jpg"")","=IMAGE(""https://www.scandiamoss.com/plugin/ckeditor/uploads/ad6a5b7bf82f31d333c63c9410d91656.jpg"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGY_kFbm6IfI6PNTmQ5ZBwZYrYqJqnD1UK5IWmHMwwSg&s=10"")","=IMAGE(""https://i.pinimg.com/1200x/db/37/15/db3715f2e08812dc7118d0465f419be0.jpg"")","=IMAGE(""https://i.pinimg.com/736x/a0/6e/a1/a06ea1cacaf9550ae0c6cd8d6a62f204.jpg"")","=IMAGE(""https://i.pinimg.com/736x/4d/b1/47/4db147957be6c9519707e1f7f03c447b.jpg"")",신한 벽지 리빙 클래식 다마스크 패턴,"=IMAGE(""https://i.pinimg.com/1200x/32/af/c6/32afc6b45e9a558b21c3e8e0dbd62a06.jpg"")",구정 프렌치 헤링본 마루 오크,"=IMAGE(""https://i.pinimg.com/736x/b4/44/a9/b444a94ddf2fd335358f638d3f656fb8.jpg"")",봄/가을 추천,사계절 가능,"42,000","9,000","55,000","18,000","웨인스코팅 목공 작업 시 겨울철 건조로 인한 목재 비틀림 주의, 실내 온습도 일정하게 유지 필요",,,,,대형 평수 주거자,어려움
7,럭셔리,Luxury,"대리석, 골드, 고급 소재",화려하고 품격 있는 공간,프리미엄 호텔 느낌,"=IMAGE(""https://png.pngtree.com/thumb_back/fw800/background/20240506/pngtree-modern-luxury-living-room-of-high-end-villa-with-large-glass-image_15724903.jpg"")","=IMAGE(""https://i.pinimg.com/1200x/c5/06/ad/c506ad544a79688b267f8d479af1a85f.jpg"")","=IMAGE(""https://i.pinimg.com/1200x/65/c0/1a/65c01ac5a3b514ea5f0eadfb1441fb2b.jpg"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwwOzHujiCEeX1obqNHiP-yKrfhFFcaRkP6AXDj-j6RqM6cnWDKlARPxcb&s=10"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTW0pntcmOBrbf5m6cEHDmE6O6eXrxUwGlRE1rgrGwXg&s=10"")","=IMAGE(""https://i.pinimg.com/736x/93/f9/aa/93f9aa5239d41b2ef821055f6c797ed6.jpg"")","=IMAGE(""https://i.pinimg.com/1200x/c9/a2/29/c9a2297a7da7b1c15d8894aa110d3d5c.jpg"")","=IMAGE(""https://i.pinimg.com/736x/64/b2/4c/64b24cc14dcccc08d6587da34821bb36.jpg"")",수입 직물 실크벽지 골드펄 화이트,"=IMAGE(""https://i.pinimg.com/1200x/4e/b4/ff/4eb4ff0e799760d3ecfd41072bb0f045.jpg"")",천연 대리석 비앙코 카라라 판재,"=IMAGE(""https://i.pinimg.com/1200x/37/91/5e/37915eede36e035cc96f83660077d087.jpg"")",봄/가을 추천,겨울철 피함 권장,"55,000","15,000","90,000","35,000","천연대리석 에폭시 본드는 저온에서 접착력 저하, 겨울철 난방 미가동 상태서 시공 시 탈락 위험",,,,,"고급 빌라, 호텔식 선호족",매우어려움
8,다크 모던,Dark Modern,"블랙, 차콜, 딥그레이 중심",무게감 있고 세련된 분위기,남성적이고 고급스러운 느낌,"=IMAGE(""https://i.pinimg.com/736x/b7/73/25/b773250687050e74e9892204bd5c90f3.jpg"")","=IMAGE(""https://i.pinimg.com/736x/78/62/46/786246df2af8a4ea49520346e2ee59b5.jpg"")","=IMAGE(""https://i.pinimg.com/736x/b7/e4/df/b7e4df2cc90791ab790f1e3fa11bda5c.jpg"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0YqGtch6B__DjIkQ_TXqnoT951E_Ja76f3hqCqL54HQ&s=10"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLxRRVY95DVEzcEfodiQK8jhsE0E3ecyS-oHfP71Ykzg&s=10"")","=IMAGE(""https://i.pinimg.com/736x/d5/52/86/d55286f52cad6b37b9621e38ff81fc06.jpg"")","=IMAGE(""https://i.pinimg.com/1200x/a3/69/0b/a3690b4972fdf75181fed0e574ec8d7c.jpg"")","=IMAGE(""https://i.pinimg.com/736x/3d/47/ba/3d47badf526631665d6561cbce644257.jpg"")",LX 실크벽지 테라피 미드나잇차콜,"=IMAGE(""https://i.pinimg.com/736x/29/af/0d/29af0d2b1d26da2ae0d9a5aefe9539f5.jpg"")",구정마루 프리미엄 리얼 다크월넛,"=IMAGE(""https://i.pinimg.com/736x/a6/87/01/a68701474f965e1a88d6833715fbc39d.jpg"")",봄/가을 (습도 40-60%),사계절 가능,"38,000","8,000","45,000","12,000",어두운 톤의 마루는 겨울철 수축 시 틈새가 더 도드라져 보일 수 있으므로 시공 시 자재 순응 필수,,,,,"싱글 남성, 서재 공간",보통
9,재팬디,Japandi,일본 + 북유럽 스타일,원목과 뉴트럴 컬러,미니멀하면서 따뜻한 느낌,"=IMAGE(""https://res.cloudinary.com/jnto/image/upload/w_620,h_400,c_fill,f_auto,fl_lossy,q_60/v1/media/filer_public/b4/3a/b43a7291-7a3b-420a-b4ed-9becb0cd3811/japandi_09_arbzfc"")","=IMAGE(""https://i.pinimg.com/736x/c1/bc/0b/c1bc0b508f1dae4a9fb28dc60c9dc840.jpg"")","=IMAGE(""https://i.pinimg.com/736x/06/1b/a4/061ba46e2274a2635948498fc05d68ff.jpg"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtiD8IY-9Q5GDmW-iZCn24xr6nlyf3aqqA3wKIdaQUmA&s=10"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFmtlxBppsBw0WFtdQYqNdm9sdqmI2MfTWEi4Yh80ynA&s=10"")","=IMAGE(""https://i.pinimg.com/736x/44/c7/ef/44c7ef1da2b3b83dd89d95ddb3c6cb1b.jpg"")","=IMAGE(""https://i.pinimg.com/736x/b0/1b/ce/b01bce14569155c2297309000770da15.jpg"")","=IMAGE(""https://i.pinimg.com/736x/0e/fb/73/0efb7344a5fe7c5d429ce070c034b4e3.jpg"")",신한 벽지 스케치 린넨 베이지,"=IMAGE(""https://i.pinimg.com/1200x/8a/c4/f5/8ac4f534bde4105a9abb4e1b9a4fb77c.jpg"")",동화자연마루 나투스진 내추럴 애쉬,"=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKvbD8Emic9pJNTXeZi_etkavmLKywYqe9_Tg76btTJZbuD1B1ZXWJUUQ&s=10"")",봄/가을 추천,사계절 가능,"38,000","8,000","45,000","12,000",천연 원목 간살 및 마루 자재는 장마철 습기를 먹고 팽창하므로 숨구멍(신축줄눈) 확보 필수,,,,,미니멀 미학 선호층,보통
10,빈티지,Vintage,오래된 가구와 소품 활용,따뜻하고 감성적인 분위기,레트로 느낌,"=IMAGE(""https://blog.kakaocdn.net/dna/otOMN/btsHy6i7GIx/AAAAAAAAAAAAAAAAAAAAAOrEA0XZ8fFDvcsj318LRGXKLxpd9IbWRAgvXp2kX-P3/img.jpg?credential=yqXZFxpELC7KVnFOS48ylbz2pIh7yKj8&expires=1785509999&allow_ip=&allow_referer=&signature=4N5QFhHzSGv4UMjTq%2FbAr4Kcmgc%3D"")","=IMAGE(""https://i.pinimg.com/736x/58/77/04/587704040630e58e556df176f2b29910.jpg"")","=IMAGE(""https://i.pinimg.com/736x/bc/18/9a/bc189a43e6d4aaafc06f7d4182245e1b.jpg"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPxml_m-jq3jIdbbBUy14YP3ghHJLk_Cybuw81ED5Uvw&s"")","=IMAGE(""https://chrislovesjulia.com/wp-content/uploads/2025/11/061A9294-1.jpg"")","=IMAGE(""https://i.pinimg.com/1200x/34/11/4f/34114f5c1d05653130d82165478a95f0.jpg"")","=IMAGE(""https://i.pinimg.com/736x/05/4b/d3/054bd3c38069db801d4a9825092ac4b2.jpg"")","=IMAGE(""https://i.pinimg.com/1200x/ca/5a/5d/ca5a5dc3830384e9ab8652c669ad819b.jpg"")",개나리 벽지 스타일 플라워 레트로,"=IMAGE(""https://i.pinimg.com/1200x/30/4a/3f/304a3f239545cfb60f808d8ea0d9fc6f.jpg"")",티크 고재 스타일 원목마루,"=IMAGE(""https://i.pinimg.com/736x/45/56/08/4556084cdd106feba744b026e6e3e03c.jpg"")",봄/가을 추천,겨울철 피함 권장,"38,000","8,000","65,000","20,000",고재 스타일 마루 및 황동 자재는 겨울철 실내외 극심한 온도차로 인한 결로 노출 시 변색 위험,,,,,"예술가, 유니크 감성족",보통
11,보헤미안,Bohemian,다양한 패턴과 컬러,"라탄, 패브릭, 식물 활용",자유롭고 개성 있는 느낌,"=IMAGE(""https://images.homify.com/v1440572762/p/photo/image/623760/FLG_6934.jpg"")","=IMAGE(""https://i.pinimg.com/736x/eb/75/a2/eb75a2e03366391453f5f446484675c1.jpg"")","=IMAGE(""https://i.pinimg.com/736x/98/b2/d9/98b2d9cd8428dd9ab4c7f57597cd5c97.jpg"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSG6EGbWheT6-91AYz3XJicejJZ4RNgb73hrtIUMAZMzQ&s=10"")","=IMAGE(""https://i.pinimg.com/1200x/00/c4/46/00c446acfe29d4cc7fac38ee6ed3519a.jpg"")","=IMAGE(""https://i.pinimg.com/1200x/ac/29/63/ac29638e23e60b6d2e782327baf686c5.jpg"")","=IMAGE(""https://i.pinimg.com/736x/0d/ae/ae/0daeae26c3fccacc244706c4d36db4f4.jpg"")","=IMAGE(""https://i.pinimg.com/736x/e1/1f/8f/e11f8f9c0a16d1033cd24e15c787ce24.jpg"")",수입 프리미엄 에스닉 패턴벽지,"=IMAGE(""https://i.pinimg.com/1200x/57/29/74/572974be8d43caef7c2770afb4e3666f.jpg"")",인도네시아산 리얼 티크 원목마루,"=IMAGE(""https://i.pinimg.com/736x/a6/87/01/a68701474f965e1a88d6833715fbc39d.jpg"")",봄/가을 추천,겨울철 피함 권장,"45,000","12,000","70,000","25,000",천연 라탄 및 황마 소재 월커버링은 장마철 고습도 환경에서 곰팡이 발생 확률이 매우 높음,,,,,자유로운 라이프스타일,어려움
12,코스탈,Coastal,화이트 + 블루 컬러,바다를 연상시키는 분위기,시원하고 편안한 느낌,"=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAOsJrQulFCCwt524Mb-Qyb2iaz0RMvCvWJln4ffRroPORnzBsS8THIfXw&s=10"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3iOoKp9smSIbAV3kvLkPbegHzqvyZLdntuyIGsrPEtgAqUcDV3j5lCiA&s=10"")","=IMAGE(""https://th.bing.com/th/id/OIP.6L63qScJ7WP2BkaNXiQd0QHaEK?w=324&h=182&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwD30VbLxs1jYP2ItsKJyOesX1AJhSmU5JQMXmUWH7eA&s"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHjLapgi1LNVd-p0jpF2zXZpbIvZVyfbPHvdjnRU_x6nKD_X8gyVaKHzQ&s=10"")","=IMAGE(""https://i.pinimg.com/1200x/6d/fb/ce/6dfbce687e20be0eda03e338a4dc220e.jpg"")","=IMAGE(""https://i.pinimg.com/1200x/e8/e3/a7/e8e3a7dbce74e42a29c63052b1236889.jpg"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3SabW0OpsDa1rW855M75FmBKFDg4KJWdASC1kAIGCttwfluf3AahyV9o&s=10"")",LX 실크벽지 테라피 스카이블루,"=IMAGE(""https://i.pinimg.com/1200x/e1/97/6c/e1976c4c4de501e34a76af698b46a9bd.jpg"")",워시드 화이트 빈티지 마루,"=IMAGE(""https://i.pinimg.com/736x/78/92/57/7892573205c23083521f210956a5f07b.jpg"")",사계절 가능,사계절 가능,"38,000","8,000","45,000","12,000",화이트 빈티지 마루 시공 시 겨울철 접착제 도포 후 냉해 입지 않도록 보일러 가동 스케줄 조절,,,,,휴양지 감성 선호족,보통
13,미드센추리 모던,Mid-Century,1950~60년대 감성,곡선 가구와 원목 활용,레트로하면서 세련된 느낌,"=IMAGE(""https://www.andacademy.com/resources/wp-content/uploads/2024/11/Untitled-1-10.webp"")","=IMAGE(""https://i.pinimg.com/1200x/f9/5a/5f/f95a5fdc3280bf20fc7933a51927e0eb.jpg"")","=IMAGE(""https://i.pinimg.com/1200x/bb/f4/1b/bbf41b906e7b8b18340aa0388e76dc89.jpg"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvCuw50mcn4NPcZONTBRWJRBaSAA6TmlLd6vR2w9TW-NG6iTslg6VVZ23A&s=10"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmDXZfO1yuo_PbuQyxxDZZviwDeuccjw2FQAoozQOmz0ZiASztgfRyflM&s=10"")","=IMAGE(""https://i.pinimg.com/736x/e9/2f/17/e92f17de5fbe2886001d16335b2913f0.jpg"")","=IMAGE(""https://i.pinimg.com/736x/6a/3f/da/6a3fda6e9bbeaa4bff96227ebdbf3cb7.jpg"")","=IMAGE(""https://i.pinimg.com/736x/ca/a6/d0/caa6d034c06aa980649d5ca8794ced9a.jpg"")",던에드워드 페인트 버터크림 컬러,"=IMAGE(""https://i.pinimg.com/1200x/b2/8e/14/b28e1447c1ac3cba613629e0db2af6ea.jpg"")",구정마루 리얼 티크 브낭,"=IMAGE(""https://i.pinimg.com/736x/a6/87/01/a68701474f965e1a88d6833715fbc39d.jpg"")",봄/여름 추천,사계절 가능,"48,000","12,000","45,000","12,000",페인트 도장 마감은 장마철이나 겨울철에 건조가 매우 느려 공기가 연장될 수 있음 건조기 필수,,,,,트렌디한 2030 세대,보통
14,프렌치,French,화이트 몰딩과 엔틱 가구,우아하고 로맨틱한 분위기,파리 감성,"=IMAGE(""https://contents-cdn.viewus.co.kr/image/2024/03/CP-2023-0010/image-6bc1131e-4966-452c-8e16-d8a0fc810423.jpeg"")","=IMAGE(""https://i.pinimg.com/1200x/35/ea/3a/35ea3ad10ae31d7abeea5163a6cee020.jpg"")","=IMAGE(""https://i.pinimg.com/736x/53/17/66/531766dcac0d0435adf8515c65846c7d.jpg"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnrfxdvE3DE65-pLwF4xl2A3m8BOkK6sz5nM0sAqqogLJ9VDGofrd5sM4&s=10"")","=IMAGE(""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCOsK_26plc0D_qwKbtUdRQUrxTrBPOTHLBW2eEyX0gSE47yc6O8vmcVvs&s=10"")","=IMAGE(""https://i.pinimg.com/736x/53/2e/44/532e445950f1bae73c18b841cf99fa31.jpg"")","=IMAGE(""https://i.pinimg.com/736x/62/9f/a9/629fa9d7c3ff35649958bafc261281e2.jpg"")","=IMAGE(""https://i.pinimg.com/736x/14/5d/b0/145db0f2790e3999c3034aa7b6b42631.jpg"")",신한 실크벽지 리빙 로맨틱 핑크아이보리,"=IMAGE(""https://i.pinimg.com/1200x/1e/39/35/1e39359f1691edad59b81467fc28866b.jpg"")",쉐브론 패턴 화이트 오크 마루,"=IMAGE(""https://i.pinimg.com/736x/a1/60/6f/a1606f7050c1510fd587b2c1c2dd20dd.jpg"")",봄/가을 추천,겨울철 피함 권장,"42,000","9,000","58,000","20,000",퍼티 및 천정 메달리온 마감 작업은 습도가 너무 높거나 낮으면 균열(크랙)이 쉽게 발생함,,,,,"여성 1인 가구, 로맨틱 무드",어려움
